CH_4_s,CH_4_mv,
-0.000133048,-254.000,
-0.000133040,-254.000,
-0.000133032,-254.000,
-0.000133024,-254.000,
-0.000133016,-254.000,
-0.000133008,-254.000,
-0.000133000,-254.000,
-0.000132992,-254.000,
-0.000132984,-254.000,
-0.000132976,-254.000,
-0.000132968,-254.000,
-0.000132960,-254.000,
-0.000132952,-254.000,
-0.000132944,-254.000,
-0.000132936,-254.000,
-0.000132928,-254.000,
-0.000132920,-254.000,
-0.000132912,-254.000,
-0.000132904,-254.000,
-0.000132896,-254.000,
-0.000132888,-254.000,
-0.000132880,-254.000,
-0.000132872,-254.000,
-0.000132864,-254.000,
-0.000132856,-254.000,
-0.000132848,-254.000,
-0.000132840,-254.000,
-0.000132832,-254.000,
-0.000132824,-254.000,
-0.000132816,-254.000,
-0.000132808,-254.000,
-0.000132800,-254.000,
-0.000132792,-254.000,
-0.000132784,-254.000,
-0.000132776,-254.000,
-0.000132768,-254.000,
-0.000132760,-254.000,
-0.000132752,-254.000,
-0.000132744,-254.000,
-0.000132736,-254.000,
-0.000132728,-254.000,
-0.000132720,-254.000,
-0.000132712,-254.000,
-0.000132704,-254.000,
-0.000132696,-254.000,
-0.000132688,-254.000,
-0.000132680,-254.000,
-0.000132672,-254.000,
-0.000132664,-254.000,
-0.000132656,-254.000,
-0.000132648,-254.000,
-0.000132640,-254.000,
-0.000132632,-254.000,
-0.000132624,-254.000,
-0.000132616,-254.000,
-0.000132608,-254.000,
-0.000132600,-254.000,
-0.000132592,-254.000,
-0.000132584,-254.000,
-0.000132576,-254.000,
-0.000132568,-254.000,
-0.000132560,-254.000,
-0.000132552,-254.000,
-0.000132544,-254.000,
-0.000132536,-254.000,
-0.000132528,-254.000,
-0.000132520,-254.000,
-0.000132512,-254.000,
-0.000132504,-254.000,
-0.000132496,-254.000,
-0.000132488,-254.000,
-0.000132480,-254.000,
-0.000132472,-254.000,
-0.000132464,-254.000,
-0.000132456,-254.000,
-0.000132448,-254.000,
-0.000132440,-254.000,
-0.000132432,-254.000,
-0.000132424,-254.000,
-0.000132416,-254.000,
-0.000132408,-254.000,
-0.000132400,-254.000,
-0.000132392,-254.000,
-0.000132384,-254.000,
-0.000132376,-254.000,
-0.000132368,-254.000,
-0.000132360,-254.000,
-0.000132352,-254.000,
-0.000132344,-254.000,
-0.000132336,-254.000,
-0.000132328,-254.000,
-0.000132320,-254.000,
-0.000132312,-254.000,
-0.000132304,-254.000,
-0.000132296,-254.000,
-0.000132288,-254.000,
-0.000132280,-254.000,
-0.000132272,-254.000,
-0.000132264,-254.000,
-0.000132256,-254.000,
-0.000132248,-254.000,
-0.000132240,-254.000,
-0.000132232,-254.000,
-0.000132224,-254.000,
-0.000132216,-254.000,
-0.000132208,-254.000,
-0.000132200,-254.000,
-0.000132192,-254.000,
-0.000132184,-254.000,
