Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C1,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"117,4882mm","25,7964mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C3,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"125,9042mm","25,7964mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C12,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"134,3202mm","25,7964mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C19,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"130,1122mm","25,7964mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C7,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"134,3202mm","30,5086mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C18,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"130,1122mm","30,5086mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C2,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"138,5282mm","30,5086mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C48,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"146,9442mm","30,5086mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C23,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"142,7362mm","30,5086mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
U2,LTC7063RMSE#PBF,TopLayer,TSOP65P490X110_HS-13N,"143,3847mm","12,5895mm",0,Driver 6A 2-OUT High Side/Low Side Half Brdg Inv/Non-Inv 12-Pin MSOP EP Tube
U3,AD8411AWBRZ,TopLayer,SOIC127P600X175-8N,"179,2842mm","30,7808mm",180,SP Amp Current Sense Amp Single 5.5V 8-Pin SOIC N Tube Automotive AEC-Q100
Q3,ISG0613N04NM6H,TopLayer,IFX-PG-VITFN-10-1-V,"161,3342mm","22,2981mm",180,"Small Signal Dual N-Channel Enhancement Transistor, Pin 1 Source, 2 Source, 3 Drain, 4 Drain, 5 Gate, 6 Drain, 7 Drain, 8 Source, 9 Source 10 Gate, 10 Pins"
C13,C1206C104K1RACTU,TopLayer,CAPC3216X06N,"147,9637mm","13,8574mm",90,"Ceramic Capacitor, Multilayer, Ceramic, 200V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.01uF, 1206"
